scope,threshold,nb_blocked,pct_blocked_consec,pct_blocked_total,nb_solved,pct_solved,nb_remaining,efficiency
all,0,0,0.0,0.0,0,0.0,218,
all,30,279,15.15,1.31,116,53.21,102,0.416
all,60,401,21.78,1.88,146,66.97,72,0.364
all,90,584,31.72,2.74,172,78.9,46,0.295
all,120,666,36.18,3.13,180,82.57,38,0.27
all,150,803,43.62,3.77,192,88.07,26,0.239
all,180,870,47.26,4.08,196,89.91,22,0.225
all,210,953,51.77,4.47,200,91.74,18,0.21
all,240,1001,54.37,4.7,202,92.66,16,0.202
all,270,1068,58.01,5.01,207,94.95,11,0.194
all,300,1106,60.08,5.19,207,94.95,11,0.187
all,330,1144,62.14,5.37,208,95.41,10,0.182
all,360,1170,63.55,5.49,208,95.41,10,0.178
all,390,1211,65.78,5.68,208,95.41,10,0.172
all,420,1226,66.59,5.75,208,95.41,10,0.17
all,450,1267,68.82,5.95,209,95.87,9,0.165
all,480,1290,70.07,6.05,211,96.79,7,0.164
all,510,1332,72.35,6.25,211,96.79,7,0.158
all,540,1368,74.31,6.42,213,97.71,5,0.156
all,570,1405,76.32,6.59,214,98.17,4,0.152
all,600,1449,78.71,6.8,215,98.62,3,0.148
all,630,1521,82.62,7.14,215,98.62,3,0.141
all,660,1574,85.5,7.39,216,99.08,2,0.137
all,690,1646,89.41,7.72,216,99.08,2,0.131
all,720,1711,92.94,8.03,216,99.08,2,0.126
connect,0,0,0.0,0.0,0,0.0,218,
connect,30,131,7.12,0.61,40,18.35,178,0.305
connect,60,181,9.83,0.85,48,22.02,170,0.265
connect,90,260,14.12,1.22,56,25.69,162,0.215
connect,120,295,16.02,1.38,59,27.06,159,0.2
connect,150,345,18.74,1.62,62,28.44,156,0.18
connect,180,372,20.21,1.75,64,29.36,154,0.172
connect,210,409,22.22,1.92,65,29.82,153,0.159
connect,240,430,23.36,2.02,66,30.28,152,0.153
connect,270,465,25.26,2.18,67,30.73,151,0.144
connect,300,478,25.96,2.24,67,30.73,151,0.14
connect,330,489,26.56,2.29,67,30.73,151,0.137
connect,360,500,27.16,2.35,67,30.73,151,0.134
connect,390,517,28.08,2.43,67,30.73,151,0.13
connect,420,522,28.35,2.45,67,30.73,151,0.128
connect,450,540,29.33,2.53,67,30.73,151,0.124
connect,480,550,29.88,2.58,67,30.73,151,0.122
connect,510,567,30.8,2.66,67,30.73,151,0.118
connect,540,589,31.99,2.76,67,30.73,151,0.114
connect,570,610,33.13,2.86,68,31.19,150,0.111
connect,600,632,34.33,2.97,68,31.19,150,0.108
connect,630,664,36.07,3.12,68,31.19,150,0.102
connect,660,692,37.59,3.25,69,31.65,149,0.1
connect,690,723,39.27,3.39,69,31.65,149,0.095
connect,720,755,41.01,3.54,69,31.65,149,0.091
